DATA,SENIORIDADE,ATENDIMENTOS,PROJETOS
2024-04-02,Junior,8,Projeto1-Basis
2024-04-03,Senior,10,Projeto1-Basis
2024-04-04,Estagiário,10,Projeto1-Funcional
2024-04-05,Estagiário,9,Projeto1-Basis
2024-04-05,Estagiário,1,Projeto1-Basis
2024-04-08,Estagiário,13,Projeto1-Basis
2024-04-08,Pleno,14,Projeto1-Basis
2024-04-09,Estagiário,10,Projeto1-Funcional
2024-04-10,Estagiário,10,Projeto1-Basis
2024-04-11,Senior,6,Projeto1-Funcional
2024-04-12,Senior,1,Projeto1-Basis
2024-04-12,Junior,2,Projeto1-Basis
2024-04-15,Estagiário,12,Projeto1-Funcional
2024-04-15,Pleno,1,Projeto2-Funcional
2024-04-16,Estagiário,4,Projeto1-Basis
2024-04-17,Senior,12,Projeto1-Basis
2024-04-18,Expert,2,Projeto1-Basis
2024-04-19,Junior,2,Projeto1-Funcional
2024-04-19,Junior,2,Projeto2-Funcional
2024-04-22,Expert,8,Projeto1-Basis
2024-04-22,Senior,14,Projeto1-Funcional
2024-04-23,Junior,5,Projeto1-Funcional
2024-04-24,Senior,7,Projeto1-Basis
2024-04-25,Junior,7,Projeto1-Basis
2024-04-26,Junior,2,Projeto1-Basis
2024-04-26,Junior,3,Projeto2-Funcional
2024-04-29,Pleno,7,Projeto1-Funcional
2024-04-29,Estagiário,7,Projeto1-Basis
2024-04-30,Pleno,3,Projeto1-Funcional
2024-04-31,Estagiário,14,Projeto2-Funcional
2024-05-02,Estagiário,13,Projeto1-Funcional
2024-05-02,Estagiário,4,Projeto1-Basis
2024-05-03,Junior,11,Projeto1-Funcional
2024-05-03,Senior,14,Projeto1-Basis
2024-05-06,Senior,3,Projeto1-Basis
2024-05-06,Junior,7,Projeto1-Funcional
2024-05-07,Estagiário,3,Projeto1-Funcional
2024-05-08,Estagiário,14,Projeto1-Funcional
2024-05-09,Estagiário,9,Projeto1-Basis
2024-05-10,Expert,10,Projeto1-Funcional
2024-05-10,Estagiário,9,Projeto1-Basis
2024-05-13,Pleno,7,Projeto1-Funcional
2024-05-13,Pleno,11,Projeto2-Funcional
2024-05-14,Estagiário,2,Projeto1-Basis
2024-05-15,Junior,10,Projeto1-Basis
2024-05-16,Junior,11,Projeto1-Basis
2024-05-17,Estagiário,5,Projeto1-Funcional
2024-05-17,Pleno,6,Projeto1-Funcional
2024-05-20,Estagiário,8,Projeto1-Basis
2024-05-20,Junior,12,Projeto2-Funcional
2024-05-21,Junior,13,Projeto2-Funcional
2024-05-22,Pleno,1,Projeto1-Basis
2024-05-23,Estagiário,3,Projeto1-Basis
2024-05-24,Junior,7,Projeto1-Basis
2024-05-24,Estagiário,12,Projeto1-Funcional
2024-05-27,Junior,12,Projeto1-Funcional
2024-05-27,Estagiário,6,Projeto1-Funcional
2024-05-28,Pleno,2,Projeto1-Funcional
2024-05-29,Pleno,14,Projeto1-Basis
2024-05-30,Pleno,9,Projeto1-Funcional
2024-06-02,Estagiário,5,Projeto1-Funcional
2024-06-02,Estagiário,10,Projeto1-Funcional
2024-06-03,Senior,11,Projeto1-Basis
2024-06-04,Pleno,2,Projeto1-Basis
2024-06-05,Expert,9,Projeto1-Basis
2024-06-06,Senior,13,Projeto1-Basis
2024-06-07,Junior,9,Projeto1-Funcional
2024-06-07,Expert,9,Projeto1-Basis
2024-06-10,Expert,9,Projeto1-Basis
2024-06-10,Junior,12,Projeto1-Basis
2024-06-11,Estagiário,5,Projeto1-Funcional
2024-06-12,Junior,13,Projeto1-Funcional
2024-06-13,Estagiário,12,Projeto1-Funcional
2024-06-14,Senior,12,Projeto1-Basis
2024-06-14,Junior,2,Projeto1-Basis
2024-06-17,Junior,2,Projeto1-Funcional
2024-06-17,Senior,12,Projeto1-Funcional
2024-06-18,Expert,10,Projeto1-Basis
2024-06-19,Pleno,12,Projeto1-Funcional
2024-06-19,Junior,5,Projeto1-Funcional
2024-06-21,Estagiário,6,Projeto1-Basis
2024-06-21,Estagiário,6,Projeto1-Basis
2024-06-24,Junior,5,Projeto1-Funcional
2024-06-24,Estagiário,8,Projeto1-Basis
2024-06-25,Expert,5,Projeto1-Basis
2024-06-26,Estagiário,9,Projeto1-Basis
2024-06-27,Junior,11,Projeto1-Funcional
2024-06-28,Estagiário,12,Projeto1-Funcional
2024-06-28,Estagiário,6,Projeto1-Basis
2024-06-31,Senior,9,Projeto1-Basis
2024-06-31,Estagiário,13,Projeto1-Basis
